Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
K_R_15,SW_Push,GatronLP_Hotswap_1u,284.15,-28.225,6.0,top
K_R_16,SW_Push,GatronLP_Hotswap_1u,305.583627,-26.074112,-2.0,top
K_R_21,SW_Push,GatronLP_Hotswap_1u,210.064833,-56.412007,14.0,top
K_R_22,SW_Push,GatronLP_Hotswap_1u,227.464833,-45.12444,11.4,top
K_R_23,SW_Push,GatronLP_Hotswap_1u,245.564833,-36.826489,10.0,top
K_R_24,SW_Push,GatronLP_Hotswap_1u,266.064833,-40.855114,13.0,top
K_R_25,SW_Push,GatronLP_Hotswap_1u,289.05,-47.55,15.9,top
K_R_26,SW_Push,GatronLP_Hotswap_1u,309.264833,-46.351489,18.2,top
K_R_31,SW_Push,GatronLP_Hotswap_1u,215.664833,-75.551489,21.0,top
K_R_32,SW_Push,GatronLP_Hotswap_1u,232.264833,-64.451489,19.0,top
K_R_33,SW_Push,GatronLP_Hotswap_1u,249.964833,-56.451489,19.0,top
K_R_34,SW_Push,GatronLP_Hotswap_1u,271.664833,-60.151489,21.5,top
K_R_35,SW_Push,GatronLP_Hotswap_1u,296.5,-67.1,27.4,top
K_R_36,SW_Push,GatronLP_Hotswap_1u,317.364833,-65.251489,28.75,top
K_R_41,SW_Push,GatronLP_Hotswap_1u,188.212523,-127.8,62.0,top
K_R_42,SW_Push,GatronLP_Hotswap_1u,200.464833,-109.4,47.0,top
K_R_43,SW_Push,GatronLP_Hotswap_1u,218.764833,-95.5,25.0,top
K_R_44,SW_Push,GatronLP_Hotswap_1u,242.964833,-92.136272,-2.0,top
LED1,LED_ABGR,LED Rectangle(OSTBMAZ2C1D),164.54,-69.46,-90.0,top
LED2,LED_ABGR,LED Rectangle(OSTBMAZ2C1D),177.46,-69.46,0.0,top
R10,2k,R_0402,175.0,-69.5,0.0,bottom
R5,3.3k,R_0402,166.5,-69.25,180.0,bottom
R6,2k,R_0402,166.55,-65.0,180.0,bottom
R7,2k,R_0402,163.0,-65.0,0.0,bottom
R8,3.3k,R_0402,179.0,-65.0,0.0,bottom
R9,2k,R_0402,175.5,-65.0,0.0,bottom
